W_xi,W_hi,b_i,W_xf,W_hf,b_f,W_xc,W_hc,b_c,W_xo,W_ho,b_o,W_hy,b_y
25.736040115356445,143.777587890625,19.20994758605957,21.20841407775879,125.37037658691406,17.468578338623047,25.096982955932617,136.2302703857422,21.41200828552246,137.64060974121094,216.63284301757812,27.08543586730957,141.42221069335938,19.216310501098633
28.537174224853516,98.89849853515625,16.256649017333984,14.734517097473145,86.08363342285156,14.890510559082031,15.823203086853027,89.40613555908203,16.701387405395508,112.13746643066406,165.2389678955078,24.38709259033203,131.46336364746094,18.655059814453125
21.52284812927246,130.07125854492188,17.823823928833008,19.03175926208496,111.14080810546875,16.13157844543457,24.04899787902832,120.49623107910156,18.462604522705078,125.83990478515625,192.9137420654297,26.38390350341797,143.13035583496094,21.764925003051758
23.707408905029297,120.23994445800781,17.58268928527832,18.686595916748047,100.01091003417969,14.880607604980469,23.59395408630371,110.58704376220703,19.24790382385254,125.67011260986328,185.49691772460938,23.13454818725586,138.3417205810547,16.441621780395508
18.91693878173828,105.24146270751953,16.499860763549805,14.23678970336914,82.49393463134766,12.691329002380371,18.65498924255371,105.55712127685547,17.16101837158203,118.76748657226562,153.29324340820312,19.527254104614258,133.0926971435547,15.61838150024414
18.576873779296875,104.1741714477539,14.671833038330078,13.871612548828125,83.6977767944336,12.498473167419434,16.554994583129883,96.38134002685547,16.48854637145996,107.76802062988281,143.4067840576172,18.893878936767578,129.75587463378906,17.88100242614746
21.294387817382812,121.49034118652344,18.312576293945312,18.70468521118164,104.84078216552734,16.023319244384766,39.89102554321289,129.9873046875,20.047029495239258,128.81146240234375,185.83126831054688,25.01923370361328,143.49574279785156,16.963096618652344
22.5411319732666,118.99503326416016,17.42438316345215,16.57367706298828,96.16597747802734,13.596102714538574,23.00586700439453,119.61106872558594,20.91045570373535,141.66311645507812,176.989013671875,21.60738182067871,147.44210815429688,19.374849319458008
23.19816017150879,94.07289123535156,13.963479995727539,16.766300201416016,79.20551300048828,12.636527061462402,18.49383544921875,88.47966003417969,16.156808853149414,121.99751281738281,153.4266357421875,20.47361946105957,126.68881225585938,18.648208618164062
23.437583923339844,106.85964965820312,17.1446475982666,18.15141487121582,98.06853485107422,14.429500579833984,22.86501693725586,117.5328140258789,20.389116287231445,120.2045669555664,157.77957153320312,23.315563201904297,138.40623474121094,20.178340911865234
17.943368911743164,96.85215759277344,17.15216064453125,11.764839172363281,68.6170654296875,11.016158103942871,20.0905818939209,98.41673278808594,18.041032791137695,117.79663848876953,152.28585815429688,21.595848083496094,129.4107666015625,18.10079002380371
49.53523254394531,128.6105194091797,19.353734970092773,16.48438262939453,102.57154846191406,15.415376663208008,22.105070114135742,123.97384643554688,20.147680282592773,119.11048126220703,181.912841796875,26.419401168823242,143.75257873535156,21.179821014404297
23.122119903564453,139.50033569335938,17.944250106811523,16.27306365966797,108.665771484375,14.550642013549805,23.304258346557617,136.07498168945312,20.114078521728516,135.35848999023438,194.08177185058594,22.454710006713867,150.46185302734375,23.39276123046875
18.760719299316406,109.25440979003906,16.90171241760254,14.055935859680176,88.99061584472656,12.696484565734863,22.0968074798584,124.58887481689453,20.10272979736328,109.39450073242188,145.51388549804688,20.020158767700195,135.45657348632812,17.84687042236328
31.603330612182617,159.06063842773438,20.521373748779297,22.214111328125,122.2284927368164,14.57872200012207,27.33172035217285,144.87899780273438,18.740676879882812,126.13207244873047,200.16738891601562,26.323625564575195,139.3153839111328,20.873647689819336
20.69662857055664,112.72958374023438,17.184349060058594,15.7988920211792,95.2549057006836,13.463672637939453,16.332746505737305,101.11490631103516,17.737646102905273,109.08506774902344,168.8607635498047,21.22015380859375,132.5187225341797,17.1710147857666
17.39040756225586,88.14320373535156,14.947705268859863,13.920780181884766,73.94511413574219,12.818093299865723,17.835935592651367,88.64470672607422,16.518037796020508,128.4300994873047,145.7594451904297,21.72953987121582,131.70785522460938,22.331012725830078
