W1,W2,E1,E2,M1,M2,U1,V1,V2,A1,A2,G1_1,G1_2,G2_1,G2_2
14.986905097961426,322.6449890136719,14.706827163696289,322.6224060058594,1160.495849609375,2636.689697265625,145.4165496826172,134.0650634765625,2501.035888671875,0.000459042756119743,0.000457676564110443,1848.4044189453125,134.47677612304688,2171.947509765625,2501.000244140625
15.178369522094727,339.87811279296875,14.889378547668457,339.8691711425781,1230.061279296875,2858.268798828125,155.6239776611328,144.233154296875,2711.469970703125,0.0004593348130583763,0.00045922808931209147,1947.22412109375,144.5856475830078,2340.36962890625,2711.416748046875
15.340675354003906,354.6338195800781,15.086298942565918,354.63690185546875,1295.461181640625,3084.0126953125,165.5769805908203,153.60391235351562,2931.31494140625,0.0004584108537528664,0.0004537467029877007,2045.2591552734375,153.9259033203125,2501.6884765625,2931.25048828125
15.528895378112793,368.1251525878906,15.297674179077148,368.136474609375,1353.57470703125,3301.370849609375,174.6659698486328,163.0911102294922,3150.798095703125,0.00045833492185920477,0.00045119618880562484,2146.364013671875,163.35401916503906,2660.845947265625,3150.7255859375
15.816766738891602,381.928466796875,15.613592147827148,381.9361267089844,1405.4256591796875,3515.419677734375,181.35609436035156,171.2471466064453,3369.783203125,0.00045931138447485864,0.00045809143921360373,2241.0234375,171.48605346679688,2829.580810546875,3369.70703125
15.740503311157227,397.8581848144531,15.579419136047363,397.869873046875,1460.4500732421875,3725.39501953125,188.72938537597656,179.11331176757812,3584.831298828125,0.000459313829196617,0.000458738359156996,2338.305419921875,179.33128356933594,2998.299072265625,3584.75048828125
15.741198539733887,414.5242004394531,15.639206886291504,414.5332946777344,1512.6298828125,3921.7275390625,194.99513244628906,184.85595703125,3789.89697265625,0.0004593666235450655,0.0004593663616105914,2436.568603515625,185.07315063476562,3162.44140625,3789.814697265625
15.794502258300781,434.4695739746094,15.727190017700195,434.4794921875,1558.8204345703125,4113.22412109375,199.0197296142578,189.68035888671875,3990.344482421875,0.00045895081711933017,0.0004482023941818625,2528.222900390625,189.90878295898438,3327.146484375,3990.260498046875
15.774762153625488,450.3801574707031,15.745488166809082,450.39056396484375,1597.25537109375,4301.08056640625,202.91781616210938,190.41685485839844,4191.17724609375,0.0004589289310388267,0.00045163731556385756,2604.0712890625,190.65382385253906,3472.17724609375,4191.08740234375
16.078197479248047,463.4812316894531,15.977892875671387,463.4861755371094,1634.6483154296875,4505.4326171875,204.58567810058594,195.04312133789062,4403.07373046875,0.0004587968869600445,0.00044637505197897553,2674.3359375,195.26309204101562,3635.0751953125,4402.97900390625
